month,day_idx,n_years,median,upper,lower
1,1,13,0.0,0.0,0.0
1,2,16,0.0,0.018049201108371493,-0.018049201108371493
1,3,16,-0.027114381937163312,0.07162732831458263,-0.12585609218890925
1,4,16,-0.011401140560824419,0.16171517395174823,-0.18451745507339706
1,5,16,0.027581728560459817,0.2437205426854828,-0.18855708556456316
1,6,15,0.03225632658963595,0.2442403706377207,-0.1797277174584488
1,7,16,0.0410545579956868,0.22034427314692648,-0.13823515715555287
1,8,16,0.05580291926228076,0.2844248908252527,-0.17281905230069114
1,9,16,0.04516208670370331,0.2168205009616921,-0.12649632755428547
1,10,14,0.032472877153148116,0.37336016741213657,-0.30841441310584033
1,11,9,0.05255862069625905,0.38458617905189946,-0.27946893765938136
1,12,14,0.1359833817068672,0.45444037354345324,-0.18247361012971886
1,13,13,-0.16688622866349068,0.19165491425570136,-0.5254273715826827
1,14,14,-0.0242280992416099,0.5152320406567976,-0.5636882391400175
1,15,16,0.04292362749191214,0.46651463392414044,-0.38066737894031616
1,16,16,0.04880518393547589,0.5493494052184644,-0.4517390373475126
1,17,16,-0.016312743091518922,0.37797935941621214,-0.41060484559925
1,18,16,0.0028690541479968745,0.40804301799004983,-0.4023049096940561
1,19,16,0.05978281144362635,0.5138066551760005,-0.3942410322887478
1,20,16,0.05278021259853993,0.5914451481714796,-0.4858847229743998
1,21,14,0.07994106303917842,0.5544156935352662,-0.39453356745690943
1,22,10,0.16403199400018775,0.49443239051379045,-0.16636840251341495
2,1,16,0.03473899610053571,0.5358733772561779,-0.4663953850551065
2,2,16,0.06307503766848543,0.5697557799469533,-0.4436057046099824
2,3,16,0.061831598544449196,0.5526146200617298,-0.4289514229728314
2,4,16,0.05192218913573882,0.6222476850952723,-0.5184033068237948
2,5,16,0.015317853666689807,0.6323821706909885,-0.6017464633576088
2,6,16,-0.0359605556813703,0.4585365575893347,-0.5304576689520752
2,7,16,-0.02025594597575131,0.5331433996401472,-0.5736552915916499
2,8,16,-0.03049932686461365,0.43082772621692994,-0.49182637994615724
2,9,16,0.011518065856519988,0.6052914809362584,-0.5822553492232183
2,10,16,-0.011404189774725071,0.5220416003706037,-0.5448499799200539
2,11,9,0.020939797336022248,0.9173378915765217,-0.8754582969044772
2,12,14,0.005727724041430127,0.6246760852842042,-0.6132206372013438
2,13,14,0.006649856044622537,0.7322520111437588,-0.7189522990545137
2,14,13,-0.15628227052727273,0.33868039464123184,-0.6512449356957772
2,15,14,0.07602035762110432,0.6604234217228706,-0.5083827064806621
2,16,16,-0.08405474871230934,0.7431152820234492,-0.9112247794480679
2,17,16,-0.09142318819650225,0.6847981847206595,-0.8676445611136638
2,18,16,-0.05445252999415673,0.7707223396423648,-0.8796273996306783
