month,day_idx,n_years,median,upper,lower
1,1,12,0.0,0.0,0.0
1,2,12,0.035334035334035285,0.09096378672092659,-0.020295716052856017
1,3,12,0.12079200686795621,0.2548593010974944,-0.013275287361581956
1,4,12,0.061603844162671395,0.296341242063935,-0.17313355373859218
1,5,12,0.023736661274968374,0.2381569233974695,-0.19068360084753275
1,6,12,0.069631299673101,0.27750399796866937,-0.13824139862246737
1,7,12,0.0866778238402337,0.27992314524546097,-0.10656749756499356
1,8,12,0.12873148515864713,0.3230946981713707,-0.06563172785407648
1,9,12,0.11341548257663903,0.32883973143328016,-0.10200876628000213
1,10,12,0.13310662301791898,0.3836356579565807,-0.11742241192074276
1,11,12,0.07866528818515983,0.26900783764009883,-0.1116772612697792
1,12,12,-0.03889285379795138,0.25753694906181085,-0.3353226566577136
1,13,12,-0.06765590780400826,0.21486537507366227,-0.3501771906816788
1,14,12,-0.039460735573809747,0.23689535743638307,-0.31581682858400256
1,15,12,-0.03318903318903321,0.26912487471663504,-0.33550294109470147
1,16,11,-0.014134275618374437,0.11185045814021116,-0.14011900937696004
1,17,10,-0.055061054703224865,0.0717702906783142,-0.18189240008476393
1,18,10,-0.0028224309848894347,0.4150513446894205,-0.4206962066591994
1,19,11,0.0,0.2712721729490023,-0.2712721729490023
1,20,10,-0.012658227848101222,0.29339055751501686,-0.3187070132112193
1,21,7,-0.05907172995780585,0.18616213852011965,-0.30430559843573135
1,22,7,0.02359016489642629,0.18985113664544445,-0.14267080685259187
2,1,11,0.040138489525262666,0.3565541318607452,-0.27627715281021986
2,2,10,0.05494997769723198,0.304224451412114,-0.19432449601765006
2,3,11,0.030632005164016207,0.4825194952534896,-0.42125548492545717
2,4,11,0.014201044539639773,0.5291734974250487,-0.5007714083457692
2,5,12,-0.029639488649642498,0.434524051842569,-0.493803029141854
2,6,11,0.07311777477847548,0.40067054984019945,-0.2544350002832485
2,7,10,0.12080227105430597,0.5097117759087562,-0.2681072338001442
2,8,10,0.16914116400965068,0.6252724839049459,-0.2869901558856445
2,9,11,-0.12604636188023188,0.3489960478373723,-0.6010887715978361
2,10,11,-0.04845460399227308,0.3210068141737742,-0.41791602215832035
2,11,10,0.09211244193576346,0.25538455861705334,-0.07115967474552642
2,12,10,0.08008752602756619,0.23925704519457644,-0.07908199313944406
2,13,10,0.06399176010483437,0.5457809673580188,-0.4177974471483501
2,14,11,0.05653710247349819,0.6694659194592419,-0.5563917145122456
2,15,11,0.007067137809187329,0.5493134141432213,-0.5351791385248467
2,16,12,-0.028056988025522256,0.45132668753282945,-0.507440663583874
2,17,12,-0.05457744031987122,0.4092090790128772,-0.5183639596526196
2,18,12,-0.00404124924061261,0.46100094795547714,-0.46908344643670236
2,19,12,0.0189187390133701,0.4814360699336342,-0.443598591906894
2,20,12,0.03266612056153734,0.40132749452326466,-0.33599525340019
2,21,2,-0.5831318005954866,-0.19606660853617885,-0.9701969926547944
3,1,3,0.0,0.2428000501801108,-0.2428000501801108
3,2,13,-0.012869421335662046,0.47666036892232894,-0.5023992115936531
3,3,13,0.0,0.6478773767090786,-0.6478773767090786
3,4,13,0.0,0.5843264966740578,-0.5843264966740578
3,5,13,0.0,0.5300353356890457,-0.5300353356890457
3,6,13,0.0,0.49823321554770306,-0.49823321554770306
3,7,12,0.06455247907276235,0.5232479236339311,-0.39414296548840644
3,8,13,0.012961345773773947,0.41879437980625683,-0.39287168825870894
3,9,13,0.009284368249299124,0.37303424217801795,-0.3544655056794197
3,10,13,0.04673918887435258,0.4961109250433431,-0.40263254729463793
3,11,13,-0.03598630799835123,0.3128610851277967,-0.38483370112449916
3,12,13,-0.03598630799835123,0.3787842300041219,-0.4507568460008244
3,13,13,-0.08272549687270381,0.3292700886027352,-0.4947210823481428
3,14,13,-0.12779946579001455,0.3518070730613906,-0.6074060046414197
3,15,13,-0.021577447624509305,0.37016352379586975,-0.41331841904488836
3,16,13,-0.0647681858097815,0.29390992416812567,-0.42344629578768866
3,17,13,0.0,0.4346289752650174,-0.4346289752650174
3,18,13,0.014373017437588564,0.4646749631426775,-0.43592892826750035
3,19,13,-0.014408860373841814,0.3880849919225385,-0.4169027126702221
3,20,13,0.0,0.424107142857143,-0.424107142857143
3,21,13,0.0035842936253338564,0.45419041604213306,-0.44702182879146535
3,22,9,-0.23809523809523814,0.34507421213811185,-0.8212646883285881
3,23,5,0.15081274573088432,0.6813503838913145,-0.3797248924295459
4,1,13,-0.014408860373841814,0.41845984144233217,-0.4472775621900158
4,2,13,0.032366171436764124,0.681551384977609,-0.6168190421040808
4,3,13,0.01609787508048932,0.6946537651624581,-0.6624580150014795
4,4,13,0.01609787508048932,0.5234825939912869,-0.4912868438303083
4,5,13,0.01609787508048932,0.6920304019869375,-0.6598346518259589
4,6,13,0.0,0.7366071428571429,-0.7366071428571429
4,7,13,-0.04845460399227308,0.7449349185907458,-0.841844126575292
4,8,12,0.03862296216434191,0.7642503752917551,-0.6870044509630713
4,9,12,0.02602417007129365,0.7497411906633143,-0.697692850520727
4,10,13,0.01609787508048932,0.8616732591297948,-0.8294775089688161
4,11,12,-0.24382215007215008,0.5469726420163283,-1.0346169421606286
4,12,13,0.017316017316017285,0.8535427657063163,-0.8189107310742817
4,13,13,0.04329004329004327,0.899985946523855,-0.8134058599437685
4,14,13,0.08946608946608936,0.9784422937289178,-0.7995101147967391
4,15,13,0.08369408369408371,1.0629438593276688,-0.8955556919395015
4,16,13,0.08861515833984468,1.1650007933761135,-0.9877704766964241
4,17,13,0.0719768350415958,0.8604434231289538,-0.7164897530457622
4,18,13,0.04798455669439727,0.967506080455944,-0.8715369670671494
4,19,13,0.028860028860028808,0.8700748718213277,-0.8123548141012701
4,20,13,0.03463203463203457,1.0019283503976335,-0.9326642811335643
4,21,11,-0.6102321758783646,0.20859677549396194,-1.4290611272506912
4,22,7,0.04617604617604609,1.1013058398217406,-1.0089537474696484
5,1,3,-0.6474214094925006,-0.4042678094455372,-0.890575009539464
5,2,13,0.03463203463203457,1.0453842780738198,-0.9761202088097507
5,3,6,-0.6229125842825519,-0.29961496561610423,-0.9462102029489996
5,4,7,0.2702702702702702,1.040677884209594,-0.5001373436690536
5,5,9,0.051948051948051854,1.1332861733219275,-1.0293900694258236
5,6,13,-0.025974025974025983,0.7937221788811892,-0.8456702308292412
5,7,12,-0.31749144857836054,0.597588404001492,-1.2325713011582131
5,8,13,0.037518037518037506,1.0908427203906077,-1.0158066453545327
5,9,13,0.005772005772005762,0.9908459959221941,-0.9793019843781826
5,10,13,0.028860028860028808,0.9627491643294069,-0.9050291066093493
5,11,12,0.039002690149447516,0.8662090925075077,-0.7882037122086125
5,12,13,-0.0028860028860029363,1.111044740592628,-1.116816746364634
5,13,12,-0.2515844997866778,0.6733227098746946,-1.1764917094480503
5,14,13,-0.051948051948051965,0.9648768328079578,-1.0687729367040617
5,15,13,0.0,1.1146168705730843,-1.1146168705730843
5,16,12,0.029297167367673405,1.0657531819664319,-1.007158847231085
5,17,11,0.16050006894332858,1.1661701522700336,-0.8451700143833764
5,18,13,0.08946608946608936,1.2232466681650362,-1.0443144892328573
5,19,13,0.202020202020202,1.405859319310141,-1.001818915269737
5,20,13,0.23423423423423428,1.290435382910471,-0.8219669144420025
5,21,12,-0.06872312902721789,1.0868657082462618,-1.2243119663006976
5,22,9,0.24624624624624625,0.9673469348292271,-0.4748544423367346
5,23,5,0.21021021021021014,0.9853649528472451,-0.5649445324268249
6,1,12,0.2666042666042666,1.254861901967815,-0.7216533687592819
6,2,12,-0.23192876459776002,0.91365525284373,-1.37751278203925
