month,day_idx,n_years,median,upper,lower
1,1,28,0.0,0.0,0.0
1,2,32,0.0,0.04392885306980038,-0.04392885306980038
1,3,32,0.03170246209962202,0.13538662419150327,-0.07198169999225923
1,4,33,0.03153988868274582,0.14612897114870288,-0.08304919378321124
1,5,32,0.03647133918254519,0.13331152019643075,-0.060368841831340364
1,6,32,0.04670481454923503,0.18423718377618387,-0.0908275546777138
1,7,33,0.05212081187363038,0.233276858059362,-0.12903523431210123
1,8,32,0.06762584701268709,0.23285690555139593,-0.09760521152602175
1,9,32,0.05870491433526104,0.25505570179637405,-0.13764587312585197
1,10,29,0.08647605583148865,0.21147902654980072,-0.038526914886823416
1,11,20,0.08350026298950458,0.2793761415283914,-0.11237561554938222
1,12,29,0.13347089065216178,0.2757461559123401,-0.00880437460801653
1,13,29,0.10889676019509154,0.38942940048772884,-0.17163588009754577
1,14,28,0.08147036986186906,0.35847479030582263,-0.1955340505820845
1,15,31,0.08573512065947742,0.40685575442778366,-0.23538551310882883
1,16,33,0.09077063199367452,0.3894024020344764,-0.20786113804712736
1,17,32,0.13985665439339723,0.434191706999009,-0.15447839821221454
1,18,33,0.10341328532432748,0.513085533376956,-0.30625896272830105
1,19,33,0.1576994434137291,0.5210197108929097,-0.20562082406545146
1,20,33,0.07109339293277595,0.5052572012193612,-0.36307041535380935
1,21,28,0.13047446190651835,0.5335828162956767,-0.27263389248264003
1,22,19,0.14559184622771415,0.4313624280692854,-0.14017873561385708
1,23,2,0.11123978071515894,0.26345101428789736,-0.04097145285757947
1,24,3,0.04296875,0.04359208776595752,0.04234541223404248
1,25,3,0.1083172147001934,0.2004805367504835,0.0161538926499033
1,26,2,0.265926707116948,0.3804840792043622,0.15136933502953376
2,1,33,0.15398886827458258,0.5717226322183615,-0.2637448956691964
2,2,34,0.18175481850075825,0.44246712203365346,-0.07895748503213695
2,3,33,0.19087477672125774,0.6164270184190321,-0.2346774649765166
2,4,34,0.18802099193057248,0.45491188366564295,-0.07886989980449799
2,5,34,0.16931378262817848,0.47576228187679304,-0.13713471662043608
2,6,33,0.18621971018960903,0.5317964688689596,-0.15935704848974153
2,7,34,0.18107842198176938,0.5433175154817037,-0.18116067151816495
2,8,34,0.20527436111886282,0.5575191975017428,-0.14697047526401724
2,9,33,0.25879284796375024,0.6391676773674287,-0.12158198143992827
2,10,34,0.286468431233489,0.6345649158431967,-0.061628053376218794
2,11,21,0.346938775510204,0.6485816623628498,0.045295888657558236
2,12,28,0.19817158576993432,0.5563741707725282,-0.1600309992326595
